#Position (bp)	Coverage
1697500.5	0.7678
1702500.5	0.745
1707500.5	0.8002
1712500.5	0.8612
1717500.5	0.7472
1722500.5	1.134
1727500.5	0.8426
1732500.5	0.742
1737500.5	0.876
1742500.5	0.7304
1747500.5	0.4344
1752500.5	0.6592
1757500.5	0.966
1762500.5	0.478
1767500.5	1.0312
1772500.5	0.7154
1777500.5	0.7426
1782500.5	0.9926
1787500.5	1.0106
1792500.5	0.787
1797500.5	1.028
1802500.5	0.901
1807500.5	0.8654
1812500.5	0.64
1817500.5	0.6806
1822500.5	0.7546
1827500.5	0.9634
1832500.5	0.7836
1837500.5	0.6862
1842500.5	0.8812
1847500.5	0.851
1852500.5	1.164
1857500.5	0.7356
1862500.5	0.655
1867500.5	0.9842
1872500.5	1.1578
1877500.5	0.978
1882500.5	1.026
1887500.5	0.881
1892500.5	0.9616
1897500.5	0.4284
1902500.5	10.5152
1907500.5	10.6634
1912500.5	11.3254
1917500.5	11.5838
1922500.5	11.6774
1927500.5	12.7742
1932500.5	11.5636
1937500.5	12.0902
1942500.5	10.5948
1947500.5	10.4916
1952500.5	11.079
1957500.5	11.1958
1962500.5	8.5586
1967500.5	9.6896
1972500.5	10.4562
1977500.5	8.5806
1982500.5	8.7576
1987500.5	10.9492
1992500.5	10.8744
1997500.5	10.0766
