#Position (bp)	Coverage
1232500.5	7.3816
1237500.5	8.852
1242500.5	9.5908
1247500.5	8.1416
1252500.5	8.209
1257500.5	8.4016
1262500.5	9.2534
1267500.5	7.6268
1272500.5	9.2132
1277500.5	7.8868
1282500.5	8.8844
1287500.5	7.5736
1292500.5	7.0248
1297500.5	7.6502
1302500.5	0.5066
1307500.5	0.3016
1312500.5	0.4388
1317500.5	0.3792
1322500.5	0.3616
1327500.5	0.3792
1332500.5	0.3902
1337500.5	0.3794
1342500.5	0.435
1347500.5	0.456
1352500.5	0.3518
1357500.5	0.4104
1362500.5	0.31
1367500.5	0.4838
1372500.5	0.3324
1377500.5	0.4126
1382500.5	0.4036
1387500.5	0.6668
1392500.5	0.5218
1397500.5	0.2876
1402500.5	0.3922
1407500.5	0.4482
1412500.5	0.3752
1417500.5	0.3504
1422500.5	0.4816
1427500.5	0.521
1432500.5	0.5248
1437500.5	0.5058
1442500.5	0.4756
1447500.5	0.3974
1452500.5	0.3546
1457500.5	0.3366
1462500.5	0.4404
1467500.5	0.3398
1472500.5	0.5238
1477500.5	0.484
1482500.5	0.2998
1487500.5	0.2482
1492500.5	0.3276
1497500.5	0.4982
1502500.5	0.4436
1507500.5	0.5044
1512500.5	0.436
1517500.5	0.2662
1522500.5	0.3452
1527500.5	0.282
1532500.5	0.4244
1537500.5	0.455
1542500.5	0.4756
1547500.5	0.509
1552500.5	0.4004
1557500.5	0.435
1562500.5	0.377
1567500.5	0.509
1572500.5	0.407
1577500.5	0.317
1582500.5	0.2948
1587500.5	0.4076
1592500.5	0.4296
1597500.5	0.3472
1602500.5	0.3212
1607500.5	0.4212
1612500.5	0.4008
1617500.5	0.4814
1622500.5	0.2448
1627500.5	0.4422
1632500.5	0.365
1637500.5	0.3474
1642500.5	0.4012
1647500.5	0.4596
1652500.5	0.3806
1657500.5	0.3632
1662500.5	0.4
1667500.5	0.316
1672500.5	0.316
1677500.5	0.382
1682500.5	0.3226
1687500.5	0.3932
1692500.5	0.454
1697500.5	0.3426
1702500.5	0.389
1707500.5	0.405
1712500.5	0.4366
1717500.5	0.392
1722500.5	0.5816
1727500.5	0.421
1732500.5	0.3722
1737500.5	0.4392
1742500.5	0.3644
1747500.5	0.2378
1752500.5	0.3312
1757500.5	0.487
1762500.5	0.2492
1767500.5	0.4564
1772500.5	0.3574
1777500.5	0.3882
1782500.5	0.5222
1787500.5	0.4992
1792500.5	0.415
1797500.5	0.4874
1802500.5	0.458
1807500.5	0.4446
1812500.5	0.3242
1817500.5	0.3604
1822500.5	0.3624
1827500.5	0.4928
1832500.5	0.4104
1837500.5	0.3422
1842500.5	0.4686
1847500.5	0.4484
1852500.5	0.561
1857500.5	0.3784
1862500.5	0.3452
1867500.5	0.4898
1872500.5	0.5732
1877500.5	0.475
1882500.5	0.5608
1887500.5	0.4168
1892500.5	0.4772
1897500.5	0.2478
1902500.5	5.2954
1907500.5	5.3914
1912500.5	5.6334
1917500.5	5.9564
1922500.5	5.7892
1927500.5	6.3858
1932500.5	5.8234
1937500.5	6.0828
1942500.5	5.3782
1947500.5	5.1854
1952500.5	5.4996
1957500.5	5.693
1962500.5	4.3228
1967500.5	5.0384
1972500.5	5.2702
1977500.5	4.475
1982500.5	4.8526
1987500.5	5.5192
1992500.5	5.6738
1997500.5	5.0364
